wellID	raw_reads	filt_reads	filt_UMI	mapped_reads	pct_mapped_reads	reads_in_gene	pct_reads_in_gene	genes_detected	UMI_in_gene	MT_reads	pct_MT_reads	UMI_in_gene_per_mapped_reads
97570.1.1.59	278094	269612	10355	228526	82.1764770576871	207021	74.443650438151	2793	6789	30340	10.9098350282248	2.970777942116
97570.1.2.18	75996	73400	2963	60303	79.3505575506912	55052	72.441429463715	1134	2041	2782	3.66121360820297	3.38457456511285
97570.1.2.21	118418	115787	4481	101288	85.5355394192354	93101	78.6219381787353	1283	2831	16486	13.9221815068594	2.79500039491351
97570.1.2.3	106940	103473	4071	89193	83.400907347635	78681	73.5714337375965	1407	2851	10006	9.35560320405971	3.19643918244705
97570.1.2.53	214072	206850	7293	182809	85.3995454995614	164556	76.8728565132947	2191	5054	31717	14.8165143811353	2.76463412632857
97570.1.2.59	302561	293431	10266	260222	86.0080855863024	227636	75.2379728682268	2746	6792	38817	12.8297880104523	2.6100790863186
97570.1.3.11	482086	468601	24249	411603	85.3790259285955	350195	72.640960313317	4747	12639	52455	10.8807150417428	3.07067732742473
97570.1.3.4	215165	208644	7544	181760	84.4753321872583	166986	77.609064189616	1964	5225	41791	19.4233964052426	2.8746698943662
97570.1.36.17	346049	340159	12368	310361	89.6865170559827	269043	77.7463707133032	2517	6974	50206	14.5083401408886	2.24706068094896
97570.1.36.21	299051	294291	11202	273847	91.5708979384503	226140	75.6181930360183	2314	5983	12296	4.11162185385412	2.18479662001044
97570.1.36.22	144744	139799	10871	116224	80.2961147079794	97191	67.1467133363006	2696	5363	21785	15.0507237641898	4.61436536343612
97570.1.36.23	962278	940046	35112	867980	90.2021069919192	746736	77.6021781943732	6091	20830	85229	8.85678674342643	2.39982488075762
97570.1.36.2	121191	118151	5835	104668	86.3643946232404	97036	80.066653201815	1594	3360	12760	10.5279702794044	3.21015018916956
97570.1.36.35	208706	203762	7673	183102	87.728018311872	163688	78.4252814978514	1943	4643	26381	12.639702839102	2.53574510382191
97570.1.36.36	256938	249825	10968	213118	82.9436583536496	192341	74.8575310487824	2784	6458	22074	8.59079005354651	3.03024615471241
97570.1.36.38	127754	125196	5719	110201	86.2572169110806	101420	79.3825794610015	1528	3410	20484	16.033407288696	3.09434578633588
97570.1.36.39	79420	77814	3767	70716	89.0367053328183	63701	80.2066871045962	942	1948	6854	8.63038143574118	2.75468069460942
97570.1.36.43	402907	396356	15223	363498	90.2186071434109	334296	82.9706586288502	3203	8893	33091	8.21335253961037	2.44650589549324
97570.1.36.55	104955	101681	4816	88254	84.0857725995576	82686	78.7789593751214	1468	3043	11809	11.2513119469449	3.44800235683369
97570.1.36.5	217444	211954	8095	190378	87.5529307703493	166977	76.7908952934536	1904	4814	43386	19.9527786898924	2.52865352089002
97570.1.36.63	765576	747827	27591	686949	89.7255253405899	583846	76.2577340037875	5205	16262	47821	6.24590177139109	2.36727908476466
97570.1.36.65	320523	312612	12641	266548	83.1608467159987	240684	75.091486763849	2986	7794	46579	14.5322157240499	2.92405120278524
97570.1.36.66	227344	219992	8736	195143	85.8371977987781	172914	76.0591989441985	2363	5464	25784	11.3411959492246	2.79999795022112
97570.1.3.69	112636	108999	3913	97066	86.1807598407815	86403	76.7137333589446	1296	2673	18158	16.1209229421202	2.75379638596419
97570.1.37.21	152924	149794	6411	135164	88.38489608969	123938	81.0438872012131	1530	3824	25302	16.5460871421651	2.82915569234412
97570.1.37.22	129399	126565	5899	111230	85.9579363647542	100026	77.2986772613154	1542	3443	20344	15.7215432627145	3.09538793490965
97570.1.37.23	120816	116680	5205	101620	84.1146020813097	91155	75.4532926166739	1672	3272	10968	9.07852165353309	3.21983861444598
97570.1.37.53	267547	259366	10654	217960	81.4629376734203	197735	73.9035007795733	3118	7387	14773	5.52161727435844	3.38915397320609
97570.1.37.55	312241	306353	16636	277968	89.0239530306125	228509	73.1834224554515	3392	8555	40512	12.974583837155	3.07769239624705
97570.1.37.6	225684	218895	9006	189947	84.1630459877334	170854	75.7031977253667	2286	5819	37031	16.4077938673283	3.06348613034162
97570.1.37.70	276890	270326	9321	238860	86.2644732307738	219519	79.2789679281569	2437	6146	40325	14.5642598712361	2.57305534622792
97570.1.38.25	119249	116915	5973	105334	88.3297583912995	88742	74.4159824401943	1489	3044	1934	1.62190503919573	2.88985512749919
97570.1.38.32	218755	212284	9200	181030	82.7526437419525	161074	73.6302598291714	2556	5677	20966	9.58428031404445	3.13594431862122
97570.1.38.68	325098	318166	12322	280949	86.4185866147143	254930	78.4149232362832	2824	7488	49252	15.1496547853687	2.66525241235954
97570.1.38.70	394113	387766	12242	342183	86.8229927067759	308440	78.261296277449	2761	7754	44044	11.1755317136991	2.26603893238413
97570.1.39.22	489625	482361	20051	450824	92.0731569687773	359043	73.3293363570898	3591	10079	23332	4.76511111576106	2.23568399197913
97570.1.39.2	81633	78772	4480	67618	82.8316884746848	61202	74.9721451609146	1449	2695	2431	2.97796532658142	3.98562512940341
97570.1.39.33	174918	169641	7024	147478	84.3090466477699	131263	75.0398450139265	2024	4442	23621	13.5042584812329	3.01197466740802
97570.1.39.55	523937	515190	19261	481064	91.815015992044	392366	74.8862611578042	3466	10120	29385	5.60840008325003	2.10367019772837
97570.1.39.60	215237	210421	8439	192881	89.6152536372067	176232	81.881029461191	1968	4716	20025	9.30302217715992	2.44503087395855
97570.1.39.64	236036	231228	8713	207192	87.7795748986215	185560	78.614738343475	2091	5120	30623	12.9737749440361	2.4711378817715
97570.1.39.9	173273	169126	7487	146037	84.2767457341052	131593	75.941166686112	1943	4347	18487	10.6684588300409	2.97664290556503
97570.1.40.11	183773	178569	8829	156643	85.2362407125639	140454	76.4266294211649	2724	5627	26226	14.2712775308567	3.59224478591447
97570.1.40.47	142383	137563	6272	116237	81.6369163552221	105708	74.242269628068	1884	3957	15359	10.786713887101	3.40425165824995
97570.1.40.48	32949	32280	2227	29319	88.9831011653569	24787	75.228244464768	655	1100	2436	7.39367011059418	3.75183328217197
97570.1.40.65	75884	73282	3300	60793	80.1090707535509	53938	71.0764312731082	1159	2121	2433	3.20743041133579	3.48888852334973
97570.1.4.10	188919	183509	7846	156988	83.0959078038964	139904	74.053331107956	1940	4906	25118	13.2955040882448	3.1250796239203
97570.1.41.34	465186	452518	17587	404070	86.8606164533652	362045	77.8268378197646	3439	10351	65298	14.0368104785254	2.56168485658426
97570.1.41.38	728952	710302	27434	646452	88.6790108169208	552331	75.7671917095731	5370	15921	35132	4.81934387896315	2.46282786657014
97570.1.4.15	123379	120234	4761	106591	86.389731592074	96984	78.6021870705683	1307	3081	25151	20.3834013355268	2.89048793988235
97570.1.41.5	437402	429646	14108	393922	90.0564186254285	350491	80.1271031243682	3083	8406	26249	6.00076087732051	2.13392499022649
97570.1.42.11	443426	432232	16604	380503	85.8060504145082	342820	77.3071320652663	3741	10336	34013	7.67029200041894	2.71640433846776
97570.1.42.20	496599	484393	20386	448611	90.3345028731178	377112	75.9368677017421	4362	11579	26204	5.27677496395456	2.5810780386571
97570.1.42.27	102174	99704	5437	89321	87.4193387526241	79613	77.9181112728838	1397	2978	14890	14.5731980490486	3.33404238644888
97570.1.42.29	1059197	1036248	35046	940706	88.8086994153064	812391	76.6942717029412	6171	20939	75621	7.1395528329114	2.22588141247106
97570.1.42.30	1492813	1459653	48911	1348034	90.3015356561016	1122307	75.1806293207659	7489	28058	71054	4.75973871216132	2.08140150767711
97570.1.42.31	739089	723166	24847	668120	90.3975781812005	551758	74.6537437038584	4903	14392	36219	4.90038854834001	2.1541040531641
97570.1.42.34	364678	355219	14769	305539	83.7816320263343	277377	76.0588690745885	3509	9474	33644	9.22549265114694	3.10074982244493
97570.1.4.23	320813	310641	11305	262748	81.9007650040013	235642	73.4517868498749	3115	8068	29027	9.04781831378404	3.07062280207651
97570.1.42.3	194296	189982	8173	164874	84.8570276368322	151060	77.7468790478771	1927	4790	31406	16.1629612345025	2.90524885670269
97570.1.42.45	223941	217894	11082	196662	87.8157345147748	163137	72.8454851273909	2727	6017	14155	6.32083656452982	3.05956412525043
97570.1.42.51	644651	635210	24091	587990	91.2091163362588	483955	75.0708036708739	4028	12754	32886	5.10156899393897	2.16908450823994
97570.1.42.56	247646	243385	9505	222556	89.867253189149	190458	76.9061317139757	2045	5251	29691	11.9892977377627	2.35940617192976
97570.1.42.57	325012	316550	12735	277134	85.2693155718865	247062	76.0166051748277	3168	7851	27938	8.59636319909562	2.83292558834354
97570.1.42.62	188789	183223	10273	151368	80.1773000195414	135715	71.8861464450109	2368	5737	59308	31.4145504398542	3.79010094603879
97570.1.42.6	835905	821057	28665	757235	90.5879791716355	609779	72.9478470608538	4856	16054	56772	6.79163777152854	2.1200816127094
97570.1.42.70	1604952	1583754	56167	1430981	89.159083222478	1237417	77.0985231759601	6935	30722	175160	10.9138702249785	2.14691879207341
97570.1.42.9	418778	410993	14825	381576	91.1167922953295	306961	73.2993717433999	3048	8171	25785	6.15731645275179	2.14138205757176
97570.1.43.15	166467	162950	6586	146072	87.7487471091331	130381	78.3224429418654	1648	3848	22041	13.2404141743202	2.63431732296402
97570.1.43.17	288575	281069	10511	250651	86.8582074327939	225862	78.2677034622913	2628	6394	32342	11.2073757117742	2.55095730717212
97570.1.43.44	306403	303185	13252	284767	92.9387455799764	226595	73.9532852833717	2719	6876	18868	6.15798199054024	2.41460562494952
97570.1.43.4	287978	279957	11078	242662	84.2603307103806	222857	77.3819414126351	2703	7057	46247	16.0590985980619	2.90816032176443
97570.1.43.51	129864	126151	5160	108322	83.4101593961442	98647	75.9597522659079	1508	3254	18793	14.4710083948174	3.00400657299533
97570.1.43.59	232722	226613	9412	196445	84.4112263561786	176020	75.6346555114351	2528	5811	40908	17.5781016953291	2.95807986968363
97570.1.43.7	307870	298935	11550	258515	83.9702461465101	235713	76.5639487084397	3163	7684	27754	9.01470369467903	2.97236137168056
97570.1.4.3	172524	167317	6701	141037	81.7526363792706	127181	73.7207596547989	1783	4136	33719	19.5445633479164	2.93256379531612
97570.1.44.16	70286	66954	3135	57133	81.28782199407	50901	72.4198315790329	1223	2073	1025	1.45799031287203	3.62837589484186
97570.1.44.23	988973	978560	31688	921679	93.1951743462344	731013	73.9160714981169	4825	16718	46366	4.688404207875	1.81386361195167
97570.1.44.28	1964834	1922686	70070	1744694	88.7935306441275	1484500	75.5508627641557	9119	40342	96894	4.93127708369487	2.31226793924895
97570.1.44.32	23356	22519	1883	20415	87.4100577691606	16933	72.4996683277464	615	932	241	1.03250841206018	4.5652706343375
97570.1.44.33	254810	250012	11319	232404	91.2050617951622	189406	74.3293029569023	2590	5902	5468	2.14585548178907	2.53954320923908
97570.1.44.44	326433	319070	13816	286600	87.7980729204904	248616	76.1620635462769	3395	7978	21931	6.71837497072343	2.78367062107467
97570.1.44.52	132020	128603	5735	113673	86.1000596529323	102071	77.3127539060378	1610	3372	20536	15.5562116058958	2.96640363146921
97570.1.44.53	500515	485304	20041	443422	88.5926773144823	385111	76.9426158634011	4389	11753	32537	6.50061132271412	2.65052252707353
97570.1.44.5	344088	332449	11939	285793	83.0542775066444	255156	74.1508227618246	3405	8183	20957	6.09097143498316	2.86326117154724
97570.1.44.60	222899	218011	8434	194141	87.0953053445006	171188	76.798611003507	2162	5114	23615	10.5939546363866	2.63416795009812
97570.1.44.67	265794	259939	10007	219453	82.5631707011993	202970	76.3617316670829	2451	6509	44297	16.6646003110255	2.96601094539605
97570.1.4.4	201923	195203	7570	168786	83.5925195482558	154806	76.6691654347981	2084	5153	49842	24.6841375248259	3.05297832758641
97570.1.4.56	165475	160599	7569	141594	85.5667470938751	127942	77.3167765065422	2079	4348	13096	7.9139270206	3.07075158551916
97570.1.4.58	137473	133640	5455	117873	85.7429863497241	109250	79.4704909727672	1576	3481	19702	14.3315530656471	2.95317842084277
97570.1.4.65	168512	163976	6735	141215	83.7994010243767	127294	75.5382306996534	1988	4427	21766	12.9163978161658	3.13493609035867
97570.1.5.23	278017	269196	9193	235179	84.5934820157852	213282	76.7175558908679	2718	6425	32152	11.5648498513136	2.73196161221878
97570.1.5.39	90729	88134	3613	75721	83.4600410945849	69044	76.1005049160036	1192	2350	18221	20.082181955849	3.10349836901256
97570.1.5.61	138366	135064	5268	121864	88.0724536175596	109517	79.1486132673935	1432	3219	17977	12.9922730055421	2.64146917875665
97570.1.5.62	143276	139910	5489	125493	87.5868916069984	111384	77.739104888622	1666	3422	12644	8.82441790242482	2.72684532204984
97570.1.6.16	346087	339371	12828	316024	91.3126565425167	258288	74.6298791759834	2750	7201	21600	6.24152015915424	2.27862440827279
97570.1.6.21	125728	121353	5227	104277	82.9414019054091	96575	76.8164560414213	1515	3256	21924	17.4379491351473	3.12245269810217
97570.1.6.27	638031	623705	22243	580084	90.9174716216596	476567	74.6933587574111	4651	12941	31251	4.89832963562381	2.23088380303542
97570.1.6.30	325023	314896	11786	267283	82.233590151766	243711	74.9808410474396	3134	8263	41690	12.8264081124074	3.09147981727233
97570.1.6.31	192837	187183	6718	168571	87.41289077182	151970	78.8029963091102	1916	4305	10910	5.65672669101712	2.55382005208488
97570.1.6.44	330662	324567	11974	290230	87.7726182059735	250905	75.8797574248209	2611	7051	56194	16.99440693643	2.42945250318713
97570.1.6.61	176641	170643	6824	148284	83.9418775190246	137032	77.5715432595865	2031	4592	23321	13.2009114097127	3.09676027083165
97570.1.6.64	181245	176710	6723	150468	83.0158126221503	136039	75.0564024625345	1811	4447	33982	18.748266200217	2.95544567615706
97570.1.6.66	635005	618877	21175	569053	89.6155405637506	469845	73.9924651641208	4600	12844	45260	7.12755749962357	2.25708325938006
97570.1.6.68	479497	465769	17070	420139	87.6211287294016	369643	77.0900968420965	4111	11248	47783	9.96494890624771	2.6772092093331
97570.1.6.71	151399	146972	5394	128189	84.6667596487145	113739	75.1226541935332	1643	3479	20220	13.3547725547109	2.71396141634618
97570.1.7.1	261847	255907	8995	221130	84.4517594318282	202566	77.3621206835327	2058	5797	67564	25.8026552347607	2.62153484375707
97570.1.7.24	595749	580759	22007	522880	87.7688201995548	455253	76.416811158642	4689	13631	58255	9.77849381251327	2.60690789473684
97570.1.7.25	144307	139598	5661	123078	85.2897044754672	113632	78.7439103554576	1777	3760	25601	17.740782964214	3.0549732689839
97570.1.7.28	432667	425298	14284	396888	91.7294395566172	320591	74.0945244569997	3200	8042	2582	0.596718653588666	2.02626433653827
97570.1.7.39	171701	167424	6747	146434	85.2794855141269	130885	76.2230499556957	2036	4576	15698	9.14173569042083	3.1249573186555
97570.1.7.42	247447	240524	9040	205090	82.8812027591247	186210	75.2513132554728	2401	6132	28141	11.3725859090095	2.98990687015457
97570.1.7.43	327941	320152	12459	287033	87.524324415984	241292	73.5768476990524	3078	7499	31892	9.72453548140063	2.61259158354614
97570.1.7.4	282313	276023	9983	241967	85.7075224077532	225038	79.7109868214054	2033	6336	95414	33.796907881747	2.61853889166705
97570.1.7.52	80481	77218	3348	66978	83.2205047482336	60251	74.8628382494933	1263	2276	3163	3.92918305355264	3.39813072949327
97570.1.8.17	253414	246684	9370	214797	84.7623581347041	197374	77.8871382519135	2644	6303	26157	10.3222456167921	2.93439852511907
97570.1.8.1	349825	338461	12799	294778	84.2635164822059	262445	75.0207379507128	3293	8583	53368	15.255765879903	2.91168269002436
97570.1.8.21	497160	482143	18081	437930	88.0866544850365	395024	79.4564620449654	4122	11346	21673	4.35947791635992	2.59082501769689
97570.1.8.22	1685080	1646229	61647	1510206	89.621555559503	1280710	76.0022255550904	8820	35619	101072	5.99806545487098	2.3585524094064
97570.1.8.28	282174	275923	10185	247107	87.5711134104259	225283	79.8366068241411	2309	6333	48385	17.1473214236204	2.56285738566694
97570.1.8.33	268118	263633	9574	242643	90.4973045991356	208934	77.924917915962	2033	5302	41184	15.3606858990558	2.18510321748412
97570.1.8.3	666854	651832	21673	607336	91.074791531688	503972	75.5744944268215	4342	12641	28749	4.31117786733905	2.08138493354585
97570.1.8.45	319559	313585	11909	289708	90.6578152833621	237769	74.404487335476	2564	6408	20980	6.56533081550553	2.21188230908363
97570.1.8.47	267183	258944	9666	218658	81.8337577621868	194358	72.7382452365998	2579	6749	27626	10.338748853413	3.08655525981213
97570.1.8.4	424666	415943	14649	389144	91.632393658117	317469	74.7550239246854	3051	8343	30591	7.20357768623252	2.1439364348416
97570.1.8.64	89275	85617	3500	70146	78.5721695357042	62232	69.7071244101632	1280	2402	1908	2.13708162955858	3.42428648818179
97570.1.8.68	246225	236548	8396	200670	81.4992538531025	177502	72.0898224107374	2556	6050	29746	12.0809351534367	3.0149000847162
