Donor	Treatment	Wash	CBF
HBEC1	BSA	noWash	10.02831865
HBEC1	BSA	noWash	11.18259257
HBEC1	BSA	noWash	9.406760733
HBEC1	BSA	noWash	9.65683314
HBEC1	BSA	noWash	8.690743507
HBEC1	BSA	noWash	8.897085793
HBEC1	BSA	noWash	8.342847697
HBEC1	BSA	noWash	12.20480457
HBEC1	BSA	noWash	10.34523999
HBEC1	BSA	noWash	8.837874379
HBEC1	BSA	noWash	12.26585297
HBEC1	BSA	noWash	8.910506083
HBEC1	BSA	noWash	7.580546514
HBEC1	BSA	noWash	12.84554194
HBEC1	BSA	noWash	8.72974768
HBEC1	BSA	noWash	10.99757781
HBEC1	BSA	noWash	6.591900727
HBEC1	BSA	noWash	9.052738888
HBEC1	BSA	noWash	8.798523716
HBEC1	BSA	noWash	9.776486886
HBEC1	BSA	noWash	11.1357788
HBEC1	BSA	noWash	7.678051043
HBEC1	BSA	noWash	7.594773934
HBEC1	BSA	noWash	9.813134188
HBEC1	BSA	noWash	9.842763326
HBEC1	BSA	noWash	9.975435629
HBEC1	BSA	noWash	7.519613278
HBEC1	BSA	noWash	9.855997041
HBEC1	BSA	noWash	10.55837787
HBEC1	BSA	noWash	5.55797027
HBEC1	BSA	noWash	8.906005268
HBEC1	BSA	noWash	9.943890162
HBEC1	BSA	noWash	10.33365227
HBEC1	BSA	noWash	10.91478268
HBEC1	BSA	noWash	8.577067559
HBEC1	BSA	noWash	8.801654775
HBEC1	BSA	noWash	8.219584224
HBEC1	BSA	noWash	9.147510025
HBEC1	BSA	noWash	10.40254133
HBEC1	BSA	noWash	7.940396918
HBEC1	BSA	noWash	8.42395799
HBEC1	BSA	noWash	10.74640131
HBEC1	BSA	noWash	9.142129977
HBEC1	BSA	noWash	10.61482238
HBEC1	BSA	noWash	9.480921255
HBEC1	BSA	noWash	7.908885398
HBEC1	BSA	noWash	10.77378807
HBEC1	BSA	noWash	9.219563337
HBEC1	BSA	noWash	10.53013241
HBEC1	BSA	noWash	9.805374854
HBEC1	BSA	noWash	7.221312038
HBEC1	BSA	noWash	9.80625393
HBEC1	BSA	noWash	10.48312132
HBEC1	BSA	noWash	10.50801264
HBEC1	BSA	noWash	9.146122213
HBEC1	BSA	noWash	7.127900037
HBEC1	BSA	noWash	8.879819768
HBEC1	BSA	noWash	9.882850174
HBEC1	BSA	noWash	9.46665366
HBEC1	BSA	noWash	6.266207323
HBEC1	BSA	noWash	11.03727845
HBEC1	BSA	noWash	9.201465257
HBEC1	BSA	noWash	9.831772162
HBEC1	BSA	noWash	9.717726062
HBEC1	BSA	noWash	11.44870632
HBEC1	BSA	noWash	8.879748737
HBEC1	BSA	noWash	11.4323898
HBEC1	BSA	noWash	9.827925422
HBEC1	BSA	noWash	9.346070898
HBEC1	BSA	noWash	9.646346431
HBEC1	BSA	noWash	8.910393831
HBEC1	BSA	noWash	8.545670925
HBEC1	BSA	noWash	8.100690537
HBEC1	BSA	noWash	9.50522547
HBEC1	BSA	noWash	9.179612711
HBEC1	BSA	noWash	8.478491228
HBEC1	BSA	noWash	6.563846081
HBEC1	BSA	noWash	8.389856797
HBEC1	BSA	noWash	8.6675214
HBEC1	BSA	noWash	10.17503411
HBEC1	BSA	noWash	8.854497295
HBEC1	BSA	noWash	7.280129348
HBEC1	BSA	noWash	6.867414143
HBEC1	BSA	noWash	8.510200389
HBEC1	BSA	noWash	10.39386843
HBEC1	BSA	noWash	9.435814284
HBEC1	BSA	noWash	7.853974742
HBEC1	BSA	noWash	10.0823497
HBEC1	BSA	noWash	9.830792479
HBEC1	BSA	noWash	9.110089827
HBEC1	BSA	noWash	9.600064126
HBEC1	BSA	noWash	7.701628039
HBEC1	BSA	noWash	10.89179629
HBEC1	BSA	noWash	9.429883804
HBEC1	BSA	noWash	8.760475574
HBEC1	BSA	noWash	10.35014336
HBEC1	BSA	noWash	7.388766836
HBEC1	BSA	noWash	11.29826537
HBEC1	BSA	noWash	10.99201307
HBEC1	BSA	noWash	8.458041169
HBEC1	BSA	noWash	10.88576302
HBEC1	BSA	noWash	10.27866926
