raw_reads	filt_reads	filt_UMI	mapped_reads	pct_mapped_reads	reads_in_gene	pct_reads_in_gene	genes_detected	UMI_in_gene	MT_reads	pct_MT_reads	UMI_in_gene_per_mapped_reads
91497.1.1.8	110605	108706	3997	82386	74.4874368314895	75267	68.0841131779721	986	2193	7032	6.38373719361733	0.0443642667074774
91497.1.1.9	447518	436954	18388	350710	78.4394297716038	299896	67.154063890125	3997	10013	17898	3.99336422303948	0.0484815227421837
91497.1.2.13	168464	164749	7560	138594	82.3772964660597	125004	74.3682179952357	2013	4387	32814	19.4688928639266	0.0537828073589111
91497.1.2.17	716444	703241	23392	653694	91.3652128285551	544127	76.0948723046041	4738	14101	32152	4.48799039688233	0.0351679421680765
91497.1.2.19	954665	938729	30467	857687	89.93930045576	727671	76.3696852485559	5253	18532	54328	5.6966763365091	0.0352099256283157
91497.1.2.20	596066	590718	19332	555344	93.2104544519351	438625	73.6493833417649	3230	10357	22196	3.72739229793943	0.0312639557762691
91497.1.2.25	150072	147193	5113	112565	75.0481648042616	99203	66.1718332376716	1279	2813	9073	6.07799103733048	0.0420090530587242
91497.1.2.27	174662	170525	6260	147300	84.4691689142038	129626	74.4079917393942	1660	3742	5431	3.11730807890173	0.0424173040328559
91497.1.2.36	215396	210766	7235	168418	78.2905614868731	145806	67.8297171466833	1919	4151	7502	3.4992590181256	0.0406803401849871
91497.1.2.37	270503	266462	9332	212347	78.5674833433004	193576	71.6879600791696	2034	5225	17341	6.41151880799699	0.0411415268093118
91497.1.2.41	104908	102476	3836	84495	80.6071801507684	77656	74.1732972086924	951	2136	14462	13.7444625653415	0.0429588161725373
91497.1.2.49	142286	139497	4738	93900	66.0932218622065	89364	62.9369953403435	986	2469	17099	12.0200785874236	0.0437731328987291
91497.1.2.50	379886	375390	11863	312351	82.2361944228778	263980	69.4882272975446	2366	6462	27777	7.29195050508962	0.0337500031078922
91497.1.2.51	74588	73038	2617	53376	71.6516034539292	49435	66.3809410064003	637	1371	8406	11.2643134989631	0.0436602219548641
91497.1.2.54	137571	134158	5219	103222	75.1737037213054	92560	67.4493876035123	1238	2772	15591	11.3221134503677	0.0449486041104618
91497.1.2.57	410636	404759	13717	347072	84.6006408667973	286604	69.88641237162	2901	7662	25509	6.19370748728322	0.0367757993366055
91497.1.2.5	479858	475204	15295	428717	89.3788227488755	359038	74.8776359282703	2775	8415	23393	4.88131051397389	0.0325341675211452
91497.1.2.62	1546874	1515646	45132	1109300	71.7554265446791	969170	62.7359769020808	6907	25794	133585	8.62087796142661	0.0370640979016157
91497.1.2.68	1052151	1031955	29558	714632	68.0087189597759	643215	61.2702336824434	4918	16989	84538	8.01940346727979	0.0379418496580828
91497.1.2.6	116408	114252	4511	87558	75.3344891582047	78808	67.8346036977516	1133	2542	8340	7.12971940810659	0.0502767659614009
91497.1.2.71	849432	835195	24226	632448	74.5056822913468	569134	67.0996531682434	4191	14389	66637	7.84650961206625	0.0365597873539668
91497.1.3.11	688100	677267	21174	627384	91.2532925879565	525035	76.4037392410282	3878	12132	13039	1.89834963603154	0.0317572178870005
91497.1.3.15	127628	125640	4756	114959	90.16599450916	98928	77.5931021164608	1245	2741	6589	5.19052466306479	0.0398879298398692
91497.1.3.21	536040	527865	17614	489866	91.4446617698077	400497	74.7949322586167	3133	9575	26751	4.99746648799627	0.0322967745762178
91497.1.3.25	94165	91807	3928	72849	77.5030153222282	62434	66.4909745618793	1071	2156	7746	8.29186109187696	0.0496256143187878
91497.1.3.27	118034	115642	3892	106267	90.1616157836152	92289	78.362490411548	1170	2406	2926	2.48350702587435	0.0366954452391655
91497.1.3.41	1244587	1227192	39155	1119326	90.0040129466767	964257	77.5494097411303	6363	23390	51459	4.13593274104055	0.0342764236712102
91497.1.3.54	143858	140496	4891	117008	81.4871051123318	106643	74.3240537305494	1271	2942	10395	7.20829846528572	0.0418536102687099
