gene	module	cor
ACSS2	grey	0.366910101036353
ACSS3	darkorange	0.828004595758929
ACTA2	turquoise	0.397460102025332
ACTB	black	0.711868998622537
ACTBL2	grey	0.680687317035388
ACTG1	grey	0.393463207016696
ACTG1P17	turquoise	0.483058107986071
ACTG1P20	grey	0.30062653380127
ACTG1P4	grey	0.0549603211331239
ACTG2	grey	-0.0820315856568254
ACTL10	grey	0.427541490130471
ACTL6A	grey	0.06336384514035
ACTN1	grey	0.372788212488606
ACTN3	grey	0.230766756246173
ACTN4	grey	0.382138546709167
ACTR10	grey	0.113756203631077
ACTR1A	salmon	0.910683109264459
ACTR1B	grey	-0.340258923957763
ACTR2	lightyellow	0.797908586024942
ACTR3	lightyellow	0.766900952941522
ACTR3B	turquoise	0.861130092971691
ACTR3C	turquoise	0.485127602122172
ACTR5	grey	-0.176524219935591
ACTR6	grey	0.0542271947360308
ACTR8	grey	0.299872659302317
ACTRT3	grey	0.443064807530385
ACVR1	grey	-0.107269399180733
ACVR1B	turquoise	0.559013025185973
ACVR1C	grey	0.155495265004978
ACVR2A	grey	0.205055621847308
ACVR2B	turquoise	0.536938089295959
ACVR2B-AS1	turquoise	0.370678948431015
ACVRL1	grey	0.348990985946224
ACY1	grey	-0.247062200407669
ACY3	yellow	0.560837779872482
ACYP1	turquoise	0.786827080383713
ACYP2	turquoise	0.714671146936327
ADA	grey	0.761790111803682
ADAD2	grey	-0.363811281486442
ADAL	orangered4	0.80535541228624
ADAM10	pink	0.789380640710812
ADAM11	green	0.696676693126596
ADAM12	grey	0.455914951032692
ADAM15	grey	0.227767338993824
ADAM17	grey	0.810730779384234
ADAM19	grey	0.860322453402977
ADAM1A	green	0.71735946808421
ADAM22	turquoise	0.832313027348187
ADAM23	grey	-0.258009283447804
ADAM28	grey	0.44680800371427
ADAM32	turquoise	0.598697857992476
ADAM8	grey	0.682925312393329
ADAM9	darkmagenta	0.875506024875415
ADAMDEC1	grey	0.595882190491317
ADAMTS1	grey	0.578606804046711
ADAMTS10	grey	-0.0847699988188819
ADAMTS12	turquoise	0.340723496437444
ADAMTS13	turquoise	0.563216553541367
ADAMTS14	grey	-0.103703961738861
ADAMTS15	grey	-0.245712759271917
ADAMTS17	grey	0.0137376655180101
ADAMTS2	grey	0.603204235897297
ADAMTS3	turquoise	0.493455361279084
ADAMTS4	grey	0.129286365864846
ADAMTS6	grey	-0.113062280293024
ADAMTS7	grey	0.188368550269035
ADAMTS7P1	turquoise	0.551201814742662
ADAMTS8	turquoise	0.294343133281485
ADAMTS9	grey	0.0712950473561195
ADAMTS9-AS2	grey	-0.350451354315707
ADAMTSL3	grey	0.291383372264086
ADAMTSL4	grey	0.85819977106975
ADAMTSL4-AS1	grey	0.521738686896036
ADAMTSL5	grey	-0.027374893004732
ADAP1	grey	0.180447969185276
ADAP2	grey	0.608392084294278
ADAR	greenyellow	0.915621568273183
ADARB1	grey	0.190621612222576
ADARB2	grey	-0.139657344257084
ADAT1	turquoise	0.499767093154706
ADAT2	grey	-0.0430338862107858
ADAT3	grey	0.15934000799967
ADCK1	grey	0.212278404615216
ADCK2	grey	-0.200201715657285
ADCK3	turquoise	0.528550317823023
ADCK4	turquoise	0.803506805965501
ADCK5	grey	0.00138098256135886
ADCY1	grey	0.134183472559892
ADCY10	grey	0.0651811249724712
ADCY10P1	green	0.824247686447961
ADCY2	turquoise	0.386826538798428
ADCY3	grey	0.434577913045553
ADCY4	grey	0.180403332911337
ADCY5	grey	-0.0769273042625413
ADCY6	grey	0.0234027879118412
ADCY7	grey	0.804617942775951
ADCY9	turquoise	0.448599858176874
ADCYAP1	grey	0.163222119349339
ADD1	yellow	0.659073339707487
ADD2	yellow	0.293076582357821
ADD3	grey	0.0242807340007394
ADD3-AS1	turquoise	0.446193278519854
ADGB	turquoise	0.927320173795266
ADGRA1	grey	-0.150450695851081
ADGRA2	grey	0.173884796497509
ADGRA3	turquoise	0.803570331907252
ADGRB1	grey	0.389778811359622
ADGRB2	orangered4	0.798531986353319
ADGRE1	grey	0.591571756508285
ADGRE2	grey60	0.928254189810746
ADGRE3	grey	0.523502411397037
ADGRE4P	grey	0.143796046290586
ADGRE5	grey	0.439730440956014
ADGRF1	grey	0.618355669691922
ADGRF2	turquoise	0.751089019185532
ADGRF3	grey	0.0656511287947209
ADGRF4	sienna3	0.748476542410821
ADGRF5	turquoise	0.490067830425955
ADGRG1	brown	0.590245253617865
ADGRG2	grey	-0.227424435592746
ADGRG3	grey	0.61726262814635
ADGRG5	grey	0.649575167035972
ADGRG6	grey	-0.115499921267344
ADGRL1	grey	-0.136354212355275
ADGRL2	red	0.651878553963644
ADGRL3	turquoise	0.537300868989906
ADGRV1	turquoise	0.540391902529201
ADH1A	brown	0.352663328520077
ADH1B	brown	0.331353989486876
ADH1C	brown	0.390499261213978
ADH4	grey	-0.0461398058776925
ADH5	grey	-0.43517032897442
ADH6	turquoise	0.840761060138616
ADH7	turquoise	0.494518352352362
ADHFE1	turquoise	0.503639507621457
ADI1	darkred	0.793703517148704
ADIPOQ-AS1	grey	0.0307976136358651
ADIPOR1	turquoise	0.342057091050641
ADIPOR2	grey	0.413756260519252
ADIRF	brown	0.558644245947195
ADK	grey	0.0103104852295472
ADM	grey	0.755997088301854
ADM2	grey	0.104091165248935
ADM5	grey	0.25304045798542
ADNP	yellow	0.601591719770292
ADNP-AS1	turquoise	0.627510893877503
ADNP2	grey	0.384212703766379
ADO	grey	0.4795936395379
ADORA1	grey	0.0844123415554651
ADORA2B	grey	-0.112945879851233
ADORA3	grey	0.403983335380648
ADPGK	grey	0.603860038769641
ADPGK-AS1	grey	0.519152315833071
ADPRH	grey	0.390342952585322
ADPRHL1	turquoise	0.889709766448016
ADPRHL2	grey	0.24824152236834
ADPRM	grey	0.305438612835459
ADRA1B	red	0.634208784429261
ADRA2A	grey	-0.445518472704204
ADRA2B	grey	0.111944251500226
ADRA2C	grey	-0.155776950098511
ADRB1	turquoise	0.661726578089944
ADRB2	grey	0.562907159605714
ADRBK1	salmon	0.829524592468879
ADRBK2	grey	0.356137889496897
ADRM1	black	0.767063763760856
ADSL	grey	-0.191314628654714
ADSS	turquoise	0.58796411891115
ADSSL1	turquoise	0.85127892997816
ADTRP	grey	0.189332768563936
AEBP1	red	0.593993951453308
AEBP2	royalblue	0.80579467264997
AEN	grey	0.45726803035514
AES	tan	0.73114495606355
AFAP1	grey	0.163802881883935
AFAP1-AS1	grey	0.211523360041881
AFAP1L1	grey	-0.0904615156615199
AFAP1L2	turquoise	0.420242467388651
AFF1	pink	0.647813457933241
AFF2	grey	0.148962576962658
AFF3	grey	0.371865233660995
AFF4	pink	0.820476110980169
AFG3L1P	grey	0.384436402748652
AFG3L2	magenta	0.730916508964616
AFMID	grey	-0.110331358384397
AFTPH	grey	0.0886456341273776
AGA	yellow	0.580934987300971
AGAP1	grey	0.166402947647668
AGAP1-IT1	grey	0.0933828645889186
AGAP11	grey	-0.43678079252877
AGAP2	midnightblue	0.936988831359913
AGAP2-AS1	grey	0.0230126187079084
AGAP3	grey	0.0112268042552622
AGAP4	green	0.826117184400161
AGAP5	green	0.8098458734258
AGAP6	green	0.920065729639911
AGAP7P	grey	0.0809152688932369
AGAP9	green	0.665478428735939
AGBL2	turquoise	0.868401683452623
AGBL3	turquoise	0.763463034570512
AGBL4	turquoise	0.873962217135301
AGBL5	turquoise	0.766166080605622
AGER	green	0.771532657310255
AGFG1	grey	0.776964952448392
AGFG2	grey	0.450741585966859
AGGF1	grey	0.0362022145473536
AGK	yellow	0.585719583204736
AGL	turquoise	0.45993209606386
AGMAT	grey	0.194998460564752
AGO1	brown	0.619215135419712
AGO2	grey	0.698602112501897
AGO3	grey	0.546519382454433
AGO4	grey	0.213651717270037
AGPAT1	grey	-0.439764160046107
AGPAT2	brown	0.598891086668163
AGPAT3	turquoise	0.314851852380498
AGPAT4	turquoise	0.629749909265061
AGPAT4-IT1	turquoise	0.272252014964207
